"Step","alpha: 1.0 - val/multiplication_equation_acc","alpha: 1.0 - val/multiplication_equation_acc__MIN","alpha: 1.0 - val/multiplication_equation_acc__MAX","alpha: 0.9 - val/multiplication_equation_acc","alpha: 0.9 - val/multiplication_equation_acc__MIN","alpha: 0.9 - val/multiplication_equation_acc__MAX","alpha: 0.6 - val/multiplication_equation_acc","alpha: 0.6 - val/multiplication_equation_acc__MIN","alpha: 0.6 - val/multiplication_equation_acc__MAX","alpha: 0.3 - val/multiplication_equation_acc","alpha: 0.3 - val/multiplication_equation_acc__MIN","alpha: 0.3 - val/multiplication_equation_acc__MAX","alpha: 0.1 - val/multiplication_equation_acc","alpha: 0.1 - val/multiplication_equation_acc__MIN","alpha: 0.1 - val/multiplication_equation_acc__MAX"
"354","0.753","0.21","1","0.7260000000000001","0.08","1","0.751","0.1","0.99","0.7789999999999999","0.05","1","0.773","0.04","0.98"
"360","0.752","0.21","1","0.7200000000000001","0.08","0.99","0.752","0.11","0.98","0.784","0.06","0.99","0.7729999999999999","0.04","1"
"366","0.748","0.21","1","0.7229999999999999","0.08","0.97","0.7369999999999999","0.11","0.97","0.7789999999999999","0.06","1","0.772","0.05","0.98"
"372","0.746","0.19","1","0.7259999999999999","0.08","0.98","0.7449999999999999","0.1","0.97","0.789","0.07","1","0.779","0.04","0.99"
"378","0.754","0.19","1","0.7289999999999999","0.08","0.98","0.752","0.11","0.99","0.7999999999999999","0.06","1","0.787","0.05","0.99"
"384","0.757","0.19","1","0.741","0.08","0.99","0.7609999999999999","0.1","1","0.7949999999999999","0.06","1","0.7939999999999999","0.04","0.99"
"390","0.759","0.18","1","0.738","0.08","0.99","0.752","0.1","1","0.7979999999999999","0.07","1","0.7890000000000001","0.04","0.98"
"396","0.7609999999999999","0.18","1","0.749","0.08","1","0.7539999999999999","0.1","0.99","0.7849999999999999","0.06","1","0.768","0.06","0.98"
"402","0.7589999999999999","0.18","1","0.7460000000000001","0.08","1","0.76","0.1","0.99","0.7949999999999999","0.07","1","0.7539999999999999","0.05","0.99"
"408","0.76","0.18","1","0.7430000000000001","0.08","1","0.755","0.1","1","0.7809999999999999","0.07","0.98","0.767","0.06","1"
"414","0.7630000000000001","0.18","1","0.7529999999999999","0.08","1","0.761","0.11","0.99","0.804","0.07","0.99","0.777","0.05","1"
"420","0.762","0.18","1","0.755","0.08","1","0.78","0.11","1","0.7999999999999999","0.07","1","0.78","0.04","1"
"426","0.761","0.18","0.99","0.756","0.08","1","0.785","0.12","1","0.794","0.06","1","0.778","0.05","0.99"
"432","0.767","0.18","1","0.752","0.08","1","0.773","0.1","1","0.8","0.07","1","0.7889999999999999","0.06","1"
"438","0.768","0.18","1","0.76","0.08","1","0.7779999999999999","0.11","1","0.8100000000000002","0.07","1","0.783","0.05","1"
"444","0.775","0.18","1","0.767","0.08","1","0.7729999999999999","0.1","1","0.804","0.07","0.99","0.7860000000000001","0.04","0.98"
"450","0.7699999999999999","0.19","1","0.758","0.08","1","0.778","0.11","1","0.788","0.07","1","0.776","0.06","0.96"
"456","0.784","0.19","1","0.759","0.08","1","0.787","0.11","1","0.784","0.07","1","0.7909999999999999","0.05","1"
"462","0.783","0.19","1","0.7569999999999999","0.08","1","0.784","0.12","1","0.8020000000000002","0.08","0.99","0.8019999999999999","0.05","1"
"468","0.785","0.19","1","0.757","0.08","1","0.791","0.11","1","0.8160000000000001","0.07","1","0.79","0.05","1"
"474","0.784","0.18","1","0.756","0.08","1","0.7879999999999999","0.11","1","0.806","0.07","1","0.7979999999999999","0.06","1"
"480","0.7870000000000001","0.19","1","0.7579999999999999","0.08","1","0.7950000000000002","0.1","1","0.8119999999999999","0.06","1","0.8099999999999999","0.06","1"
"486","0.783","0.2","1","0.763","0.08","1","0.79","0.1","1","0.8059999999999998","0.07","1","0.808","0.05","1"
